id,name,source,prescription_required,retail_price,discounted_price,manufacturer,quantity,packaging_form,salts,base name,dosage form
source_6-75738,dolo mf junior bottle of 60 ml suspension,source_6,True,52.0,44.2,micro,60.0 ml,bottle,paracetamol/acetaminophen 125.0 mg/5 ml/mefenamic acid 50.0 mg/5 ml,dolo,suspension
source_7-90349,dolomf junior oral suspension,source_7,True,56.5,50.85,micro,60.0 ml,bottle,mefenamic acid 50.0 mg/5 ml/paracetamol 125.0 mg/5 ml,dolo,suspension
source_1-65087,dolomf junior oral suspension 60 ml,source_1,True,56.5,49.8,micro,60.0 ml,bottle,mefenamic acid 50.0 mg/paracetamol 125.0 mg,dolo,suspension
source_2-39587,dolomf oral suspension,source_2,True,49.0,40.18,micro,Unknown,bottle,mefenamic acid 100.0 mg/paracetamol/acetaminophen 250.0,dolo,suspension
source_1-65088,dolomf susp 60 ml,source_1,True,63.0,55.4,micro,60.0 ml,bottle,mefenamic acid 100.0 mg/paracetamol 250.0 mg,dolo,suspension
source_6-75739,dolo micro labs forte 500 mg tablet 10,source_6,False,14.95,14.95,micro,10 tablets,strip,paracetamol/acetaminophen 500.0 mg,dolo,tablet
source_1-65089,dolo oral drops 15 ml,source_1,False,30.0,26.4,micro,15.0 ml,bottle,paracetamol 100.0 mg,dolo,suspension
source_6-75740,dolo pain relief bottle of 35 gm spray,source_6,False,83.5,73.48,micro,35.0 g,bottle,diclofenac 1.2 %/menthol 5.0 %/methyl salicylate 10.0 %/linseed oil 3.0 %,dolo,spray
source_2-39588,dolo pain relief spray,source_2,False,143.65,136.47,micro,Unknown,bottle,piroxicam 20.0 mg,dolo,spray
source_1-65090,dolo pain relief spray 35 gm,source_1,False,91.0,80.1,micro,35.0 g,bottle,piroxicam 20.0 mg,dolo,spray
source_1-65091,dolo pain relief spray 55 gm,source_1,False,143.5,126.3,micro,55.0 g,bottle,diclofenac 1.2 %w/v/linseed oil 3.0 %w/v/menthol 5.0 %w/v/methyl salicylate 10.0 %w/v,dolo,spray
source_6-75741,dolo plus tablet,source_6,True,10.0,8.8,mankind,10 tablets,strip,diclofenac 50.0 mg/paracetamol/acetaminophen 500.0 mg,dolo,tablet
source_6-75742,dolo relieve tablet,source_6,True,18.0,15.84,medico,10 tablets,strip,diclofenac 50.0 mg/paracetamol/acetaminophen 500.0 mg,dolo,tablet
source_2-39589,dolo soft mr 100 mg/2 mg tablet,source_2,True,47.0,38.54,gujarat liqui,Unknown,strip,nimesulide 100.0 mg/tizanidine 2.0 mg,dolo,tablet
source_2-39590,dolo sp 500 mg tablet,source_2,True,68.75,56.38,bioguard organics,Unknown,strip,paracetamol/acetaminophen 500.0 mg,dolo,tablet
source_6-75743,dolo suspension 60 ml,source_6,False,51.0,44.37,micro,60.0 ml,bottle,paracetamol/acetaminophen 156.2 mg/5 ml,dolo,suspension
source_1-65092,dolo suspension 60 ml,source_1,False,56.0,49.3,micro,60.0 ml,bottle,paracetamol 125.0 mg,dolo,suspension
source_7-90352,dolot tablet,source_7,True,145.61,128.08,micro,Unknown,strip,tramadol 37.5 mg/paracetamol 325.0 mg,dolo,tablet
source_1-65093,dolot tablet 10's,source_1,True,123.0,108.2,micro,10 tablets,strip,paracetamol 325.0 mg/tramadol 37.5 mg,dolo,tablet
source_7-90353,dolo th 4 tablet,source_7,True,189.7,157.5,micro,10 tablets,strip,paracetamol 500.0 mg/thiocolchicoside 4.0 mg,dolo,tablet
source_1-65094,dolo th 4 tablet 10's,source_1,True,189.5,166.8,micro,10 tablets,strip,paracetamol 500.0 mg/thiocolchicoside 4.0 mg,dolo,tablet
source_1-65095,dolo xtraa tablet 15's,source_1,False,47.0,41.4,micro,15 tablets,strip,caffeine 50.0 mg/paracetamol 650.0 mg,dolo,tablet
source_2-39591,doloact 25 mg injection,source_2,True,6.66,5.46,ochoa,Unknown,vial,diclofenac 25.0 mg,doloact,injection
source_6-75744,doloact 25 mg injection 3 ml,source_6,True,6.66,5.86,ochoa,3 ml,vial,diclofenac 25.0 mg,doloact,injection
source_2-39592,doloact 50 mg tablet dt,source_2,True,11.26,9.23,ochoa,Unknown,strip,diclofenac 50.0 mg,doloact,tablet
source_6-75745,doloact dt tablet,source_6,True,11.26,11.26,ochoa,10 tablets,strip,diclofenac 50.0 mg,doloact,tablet
source_6-75746,doloact gel 30 gm,source_6,False,51.0,44.88,ochoa,30.0 g,tube,diclofenac 1.2 %,doloact,gel
source_6-75747,doloact mouth paint,source_6,True,55.0,48.4,bmw,10.0 ml,bottle,beclomethasone/clotrimazole,doloact,paint
source_2-39593,doloact mr 250 mg/465 mg/500 mg tablet,source_2,True,40.96,33.59,ochoa,Unknown,strip,chlorzoxazone 250.0 mg/diclofenac 46.5 mg/paracetamol/,doloact,tablet
source_7-90355,doloact mr 250 mg/465 mg/500 mg tablet dt,source_7,True,40.96,39.7,ochoa,10 tablets,strip,chlorzoxazone 250.0 mg/diclofenac 46.5 mg/paracetamol 500.0 mg,doloact,tablet
source_6-75748,doloact mr dt strip of 10 tablets,source_6,True,40.0,35.2,ochoa,10 tablets,strip,chlorzoxazone/diclofenac sodium/paracetamol,doloact,tablet
source_7-90356,doloact plus 50 mg/500 mg tablet,source_7,True,17.1,16.6,ochoa,10 tablets,strip,diclofenac 50.0 mg/paracetamol 500.0 mg,doloact,tablet
source_6-75749,doloact plus dt strip of 10 tablets,source_6,True,16.0,14.08,ochoa,10 tablets,strip,diclofenac sodium/paracetamol,doloact,tablet
source_6-75750,doloact plus gel 30 gm,source_6,True,14.0,12.32,ochoa,30.0 g,tube,diclofenac/linseed oil/menthol/methyl salicylate,doloact,gel
source_7-90357,doloage 20 mg injection,source_7,True,145.61,128.08,allenge,Unknown,vial,piroxicam 20.0 mg,doloage,injection
source_7-90358,doloage 20 mg tablet,source_7,True,32.0,31.0,allenge,10 tablets,strip,piroxicam 20.0 mg,doloage,tablet
source_6-75751,doloage 20 mg tablets,source_6,True,28.0,24.64,allenge,10 tablets,strip,piroxicam 20.0 mg,doloage,tablet
source_6-75752,doloage injection,source_6,True,168.0,147.84,allenge,2 ml,vial,piroxicam 40.0 mg,doloage,injection
source_7-90359,doloage p 325 mg/20 mg tablet,source_7,True,68.0,65.9,allenge,10 tablets,strip,paracetamol 325.0 mg/piroxicam 20.0 mg,doloage,tablet
source_1-65096,doloarmr tablet 10's,source_1,True,95.0,83.6,unibiotech,10 tablets,strip,aceclofenac 100.0 mg/chlorzoxazone 250.0 mg/paracetamol 325.0 mg,doloar,tablet
source_1-65097,doloar sp tab 10's,source_1,True,110.0,96.8,unibiotech,10 tablets,strip,aceclofenac 100.0 mg/paracetamol 325.0 mg/serratiopeptidase 15.0 mg,doloar,tablet
source_7-90360,dolobak 100 mg/450 mg tablet,source_7,True,123.0,119.0,micro,10 tablets,strip,paracetamol 100.0 mg/chlormezanone 450.0 mg,dolobak,tablet
source_2-39597,dolobak 450 mg/100 mg tablet,source_2,True,56.0,45.92,micro,Unknown,strip,paracetamol/acetaminophen 450.0 mg/chlormezanone 100.0 m,dolobak,tablet
source_6-75753,dolobak strip of 10 tablets,source_6,True,123.75,108.9,micro,10 tablets,strip,tramadol 37.5 mg/paracetamol/acetaminophen 325.0 mg,dolobak,tablet
source_7-90361,dolobak tablet,source_7,True,145.61,128.08,micro,Unknown,strip,tramadol 37.5 mg/paracetamol 325.0 mg,dolobak,tablet
source_1-65098,dolobak tablet 10's,source_1,True,135.0,118.8,micro,10 tablets,strip,paracetamol 325.0 mg/tramadol 37.5 mg,dolobak,tablet
source_7-90362,doloban 100 mg tablet sr,source_7,True,38.1,36.9,mankind,10 tablets,strip,diclofenac 100.0 mg,doloban,tablet
source_7-90363,doloban 25 mg injection,source_7,True,10.5,10.2,mankind,3 ml,vial,diclofenac 25.0 mg,doloban,injection
source_6-75754,doloban aqua 75 mg ampoule of 1 ml injection,source_6,True,423.0,372.24,mankind,1 ml,ampoule,diclofenac 75.0 mg,doloban,injection
source_2-39598,doloban aqua 75 mg injection,source_2,True,22.0,18.04,mankind,Unknown,vial,diclofenac 75.0 mg,doloban,injection
source_1-65099,doloban aqua injection 1 ml,source_1,True,22.0,19.36,mankind,1 ml,vial,diclofenac 75.0 mg,doloban,injection
source_6-75755,doloban injection 3 ml,source_6,True,4.57,4.02,mankind,3 ml,ampoule,diclofenac 25.0 mg,doloban,injection
source_6-75756,doloban injection 30 ml,source_6,True,31.42,27.65,mankind,30 ml,vial,diclofenac 25.0 mg,doloban,injection
source_6-75757,dolobanmr 50/2 mg tablet mr 10,source_6,True,9.9,8.71,mankind,10 tablets,strip,tizanidine 2.0 mg/diclofenac 50.0 mg,doloban,tablet
source_6-75758,doloban plus vet bolus,source_6,True,28.0,24.64,mankind,Unknown,strip,chlorzoxazone/nimesulide/paracetamol,doloban,bolus
source_6-75759,doloban plus vet injection,source_6,True,93.0,81.84,mankind,30 ml,ampoule,nimesulide/paracetamol,doloban,injection
source_6-75760,doloban plus vet injection 90 ml,source_6,True,275.0,242.0,mankind,90 ml,ampoule,nimesulide/paracetamol,doloban,injection
source_7-90366,dolobans tablet,source_7,True,62.0,60.1,mankind,10 tablets,strip,diclofenac 50.0 mg/serratiopeptidase 15.0 mg,doloban,tablet
source_6-75761,doloban sr 100 mg strip of 10 tablets,source_6,True,38.1,33.53,mankind,10 tablets,strip,diclofenac 100.0 mg,doloban,tablet
source_6-75762,doloban strip of 10 tablets,source_6,True,40.0,35.2,mankind,10 tablets,strip,chlorzoxazone/diclofenac/paracetamol,doloban,tablet
source_2-39599,dolobest 100 mg tablet,source_2,True,71.42,58.56,ttk,Unknown,strip,aceclofenac 100.0 mg,dolobest,tablet
source_2-39600,dolobest 200 mg tablet sr,source_2,True,26.63,21.84,ttk,Unknown,strip,aceclofenac 200.0 mg,dolobest,tablet
source_2-39601,dolobest mr 100 mg/500 mg/250 mg tablet,source_2,True,130.0,106.6,ttk,Unknown,strip,aceclofenac 100.0 mg/paracetamol/acetaminophen 500.0 mg/,dolobest,tablet
source_6-75763,dolobest mr strip of 10 tablets,source_6,True,130.0,114.4,ttk,10 tablets,strip,aceclofenac 100.0 mg/chlorzoxazone 250.0 mg/paracetamol/acetaminophen 500.0 mg,dolobest,tablet
source_1-65101,dolobest mr tablet,source_1,True,130.0,114.4,ttk,10 tablets,strip,aceclofenac 100.0 mg/chlorzoxazone 250.0 mg/paracetamol 500.0 mg,dolobest,tablet
source_2-39602,dolobest od 200 mg tablet,source_2,True,45.7,37.47,ttk,Unknown,strip,aceclofenac 200.0 mg,dolobest,tablet
source_6-75764,dolobest od strip of 10 tablets,source_6,True,45.7,40.22,ttk,10 tablets,strip,aceclofenac 200.0 mg,dolobest,tablet
source_7-90371,dolobest p 100 mg/500 mg tablet,source_7,True,40.4,39.2,ttk,10 tablets,strip,aceclofenac 100.0 mg/paracetamol 500.0 mg,dolobest,tablet
source_6-75765,dolobest p strip of 10 tablets,source_6,True,29.0,25.52,ttk,10 tablets,strip,aceclofenac 100.0 mg/paracetamol/acetaminophen 500.0 mg,dolobest,tablet
source_1-65102,dolobest p tablet 10's,source_1,True,40.4,35.55,ttk,10 tablets,strip,aceclofenac 100.0 mg/paracetamol 500.0 mg,dolobest,tablet
source_7-90372,dolobest sp 100 mg/500 mg/15 mg tablet,source_7,True,73.5,71.3,ttk,10 tablets,strip,aceclofenac 100.0 mg/paracetamol 500.0 mg/serratiopeptidase 15.0 mg,dolobest,tablet
source_6-75766,dolobest sp strip of 10 tablets,source_6,True,57.8,50.86,ttk,10 tablets,strip,aceclofenac/paracetamol/serratiopeptidase,dolobest,tablet
source_6-75767,dolobest sr 200 mg tablet 10,source_6,True,26.63,23.43,ttk,10 tablets,strip,aceclofenac 200.0 mg,dolobest,tablet
source_6-75768,dolobest strip of 10 tablets,source_6,True,19.9,17.51,ttk,10 tablets,strip,aceclofenac 100.0 mg,dolobest,tablet
source_1-65103,dolobid 50 mg/15 mg tablet,source_1,True,70.0,61.6,apotex,10 tablets,strip,diclofenac 50.0 mg/serratiopeptidase 15.0 mg,dolobid,tablet
source_6-75769,dolobid m oint 30 gm,source_6,True,87.19,76.73,apotex,30.0 g,tube,diclofenac/menthol/methyl salicylate,dolobid,ointment
source_2-39605,dolobrake capsule,source_2,True,60.5,49.61,mankind,Unknown,strip,diclofenac 100.0 mg/rabeprazole 20.0 mg,dolobrake,capsule
source_1-65104,dolobrake mr 500 mg/50 mg/325 mg tablet,source_1,True,85.0,74.8,mankind,10 tablets,strip,chlorzoxazone 500.0 mg/diclofenac 50.0 mg/paracetamol 325.0 mg,dolobrake,tablet
source_7-90375,dolobrake sp 50 mg/325 mg/15 mg tablet,source_7,True,90.2,86.0,mankind,10 tablets,strip,diclofenac 50.0 mg/paracetamol 325.0 mg/serratiopeptidase 15.0 mg,dolobrake,tablet
source_7-90376,doloby plus 100 mg/500 mg tablet,source_7,True,145.61,128.08,boyeger,Unknown,strip,aceclofenac 100.0 mg/paracetamol 500.0 mg,doloby,tablet
source_7-90377,dolocaf extra tablet,source_7,False,40.0,38.8,hnf care,10 tablets,strip,caffeine 50.0 mg/paracetamol 650.0 mg,dolocaf,tablet
source_7-90379,dolocaine cream,source_7,False,196.0,184.0,cadila,5.0 g,tube,prilocaine 25.0 mg/gm/lidocaine 25.0 mg/gm,dolocaine,cream
source_6-75771,dolocaine cream 15 gm,source_6,False,319.56,281.21,zydus,15.0 g,tube,prilocaine 2.5 %/lidocaine/lignocaine 2.5 %,dolocaine,cream
source_1-65107,dolocaine cream 30 gm,source_1,False,835.0,734.8,zydus,30.0 g,tube,lidocaine 25.0 mg/prilocaine 25.0 mg,dolocaine,cream
source_6-75772,dolocaine cream 30 gm,source_6,False,708.5,708.5,cadila,30.0 g,tube,prilocaine 2.5 %/lidocaine/lignocaine 2.5 %,dolocaine,cream
source_1-65108,dolocaine cream 5 gm,source_1,True,127.0,111.8,cadila,5.0 g,tube,lidocaine 2.5 %w/w/prilocaine 2.5 %w/w,dolocaine,cream
source_7-90380,dolocalm 75 mg injection,source_7,True,14.0,13.6,sanes,1 ml,vial,diclofenac 75.0 mg,dolocalm,injection
source_7-90381,dolocalm forte 50 mg/500 mg tablet,source_7,True,30.0,29.1,sanes,10 tablets,strip,diclofenac 50.0 mg/paracetamol 500.0 mg,dolocalm,tablet
source_6-75774,dolocalm forte tablets,source_6,True,30.0,26.4,sresan,10 tablets,strip,diclofenac sodium/paracetamol,dolocalm,tablet
source_6-75775,dolocalm gel,source_6,False,90.0,79.2,sresan,30.0 g,tube,diclofenac/linseed oil/menthol/methyl salicylate,dolocalm,gel
source_6-75776,dolocalm injection,source_6,True,50.88,44.77,sresan,1 ml,vial,diclofenac sodium,dolocalm,injection
source_7-90383,dolocam 20 mg tablet,source_7,True,50.88,49.3,cipla,10 tablets,strip,piroxicam 20.0 mg,dolocam,tablet
source_6-75777,dolocam 20 mg tablet 10,source_6,True,50.88,44.77,cipla,10 tablets,strip,piroxicam 20.0 mg,dolocam,tablet
source_7-90384,dolocam 20 mg tablet dt,source_7,True,68.8,66.7,bhavishya,25 tablets,strip,piroxicam 20.0 mg,dolocam,tablet
source_6-75778,dolocam dt 20 mg tablet,source_6,True,33.0,29.04,cipla,10 tablets,strip,piroxicam 20.0 mg,dolocam,tablet
source_6-75779,dolocare 100 mg tablet,source_6,True,50.0,44.0,alkem,10 tablets,strip,piroxicam 20.0 mg,dolocare,tablet
source_1-65111,dolocare 1000 mg tablet,source_1,True,50.0,44.0,eurocare,10 tablets,strip,paracetamol 1000.0 mg,dolocare,tablet
source_6-75780,dolocare 20 mg tablets,source_6,True,7.0,6.16,vensat bio,10 tablets,strip,piroxicam 20.0 mg,dolocare,tablet
source_6-75781,dolocare 500 mg tablet,source_6,False,39.0,39.0,alkem,10 tablets,strip,paracetamol/acetaminophen 500.0 mg,dolocare,tablet
source_2-39609,dolocare 500 mg tablet,source_2,True,49.31,40.43,alkem,Unknown,strip,paracetamol/acetaminophen 500.0 mg,dolocare,tablet
source_6-75782,dolocare injection 2 ml,source_6,True,13.0,11.44,vensat bio,2 ml,vial,piroxicam,dolocare,injection
source_6-75783,dolocef 250 mg strip of 10 tablets,source_6,True,410.0,360.8,dolphin,10 tablets,strip,cefradine 250.0 mg,dolocef,tablet
source_6-75784,dolocef 500 mg tablet 10,source_6,True,410.0,360.8,dolphin,10 tablets,strip,cefuroxime 500.0 mg,dolocef,tablet
source_1-65112,dolocel plus tablet,source_1,True,80.0,70.4,cian,10 tablets,strip,diclofenac 50.0 mg/paracetamol 325.0 mg/serratiopeptidase 10.0 mg,dolocel,tablet
source_1-65113,dolocel sp 50 mg/10 mg tablet,source_1,True,95.2,83.78,cian,10 tablets,strip,diclofenac 50.0 mg/serratiopeptidase 10.0 mg,dolocel,tablet
source_1-65114,dolocem 20 mg tablet dt,source_1,True,70.0,61.6,netprime,10 tablets,strip,piroxicam 20.0 mg,dolocem,tablet
source_1-65115,dolocerin tablet 10's,source_1,False,85.0,74.8,zydus,10 tablets,strip,piroxicam 20.0 mg,dolocerin,tablet
source_2-39610,dolocet 325 mg/375 mg tablet,source_2,True,46.23,37.91,micro,Unknown,strip,paracetamol/acetaminophen 325.0 mg/tramadol 37.5 mg,dolocet,tablet
source_6-75785,dolocet 400 mg tablets,source_6,True,45.0,39.6,micro,10 tablets,strip,paracetamol/tramadol,dolocet,tablet
source_7-90389,dolocet p 100 mg/325 mg tablet,source_7,True,37.52,32.76,caplet,10 tablets,strip,aceclofenac 100.0 mg/paracetamol 325.0 mg,dolocet,tablet
source_1-65116,dolocetp tablet 10's,source_1,True,37.5,33.0,caplet,10 tablets,strip,aceclofenac 100.0 mg/paracetamol 325.0 mg,dolocet,tablet
source_6-75786,dolochek 100 mg strip of 10 tablets,source_6,True,22.12,19.69,indoco remedies,10 tablets,strip,aceclofenac 100.0 mg,dolochek,tablet
source_2-39611,dolochek 100 mg tablet,source_2,True,22.12,18.14,indoco remedies,Unknown,strip,aceclofenac 100.0 mg,dolochek,tablet
source_2-39612,dolochek 200 mg tablet sr,source_2,True,31.99,26.23,indoco remedies,Unknown,strip,aceclofenac 200.0 mg,dolochek,tablet
source_7-90392,dolochek p 100 mg/500 mg tablet,source_7,True,37.0,32.31,indoco remedies,10 tablets,strip,aceclofenac 100.0 mg/paracetamol 500.0 mg,dolochek,tablet
source_6-75787,dolochek p strip of 10 tablets,source_6,True,76.0,66.88,indoco remedies,10 tablets,strip,aceclofenac 100.0 mg/paracetamol/acetaminophen 500.0 mg,dolochek,tablet
source_6-75788,dolochek sr 200 mg strip of 10 tablets,source_6,True,267.3,235.22,indoco remedies,10 tablets,strip,aceclofenac 200.0 mg,dolochek,tablet
source_2-39614,dolocide k 50 mg tablet,source_2,True,15.1,12.38,kee,Unknown,strip,diclofenac 50.0 mg,dolocide,tablet
source_6-75789,dolocide k plus strip of 10 tablets,source_6,True,145.61,128.08,kee,10 tablets,strip,diclofenac potassium,dolocide,tablet
source_6-75790,dolocide k strip of 10 tablets,source_6,True,13.5,11.88,kee,10 tablets,strip,diclofenac 50.0 mg,dolocide,tablet
source_6-75791,dolocide kp strip of 10 tablets,source_6,True,19.8,17.42,kee,10 tablets,strip,diclofenac/paracetamol,dolocide,tablet
source_2-39615,dolocide kp tablet,source_2,True,19.8,16.24,kee,Unknown,strip,diclofenac 50.0 mg/paracetamol/acetaminophen 650.0 mg,dolocide,tablet
source_1-65119,dolocide mr 250 mg tablet,source_1,True,128.0,112.6,kee,10 tablets,strip,chlorzoxazone 250.0 mg/diclofenac 50.0 mg/paracetamol 325.0 mg,dolocide,tablet
source_6-75792,dolocide mr strip of 10 tablets,source_6,True,98.44,86.63,kee,10 tablets,strip,chlorzoxazone 200.0 mg/diclofenac 50.0 mg/paracetamol/acetaminophen 325.0 mg,dolocide,tablet
source_2-39616,dolocide mr tablet,source_2,True,97.0,79.54,kee,Unknown,strip,chlorzoxazone 250.0 mg/diclofenac 50.0 mg/paracetamol/ac,dolocide,tablet
source_2-39617,dolocide plus 116 gel,source_2,True,66.0,54.12,kee,Unknown,tube,diclofenac 1.2 %,dolocide,gel
source_6-75793,dolocide plus gel 30 gm,source_6,False,66.0,58.08,kee,30.0 g,tube,diclofenac 1.0 %/linseed oil 3.0 %/menthol 5.0 %/methyl salicylate 10.0 %,dolocide,gel
source_2-39618,dolocide plus tablet,source_2,True,18.86,15.47,kee,Unknown,strip,chlorzoxazone 250.0 mg/diclofenac 50.0 mg/paracetamol/ac,dolocide,tablet
source_2-39619,dolocip 20 mg tablet dt,source_2,True,30.0,24.6,cipla,Unknown,strip,piroxicam 20.0 mg,dolocip,tablet
source_6-75794,dolocip dt 20 mg tablet,source_6,True,34.5,30.36,cipla,10 tablets,strip,piroxicam 20.0 mg,dolocip,tablet
source_6-75795,doloco gel 30 gm,source_6,False,90.0,90.0,aerochem neutron,30.0 g,tube,diclofenac 1.2 %/menthol 5.0 %/methyl salicylate 10.0 %/linseed oil 3.0 %,doloco,gel
